BusinessPartner,BusinessPartnerFiscalYear,BPBalanceSheetCurrency,BPAnnualStockholderMeetingDate,BPFiscalYearStartDate,BPFiscalYearEndDate,BPFiscalYearIsClosed,BPFiscalYearClosingDate,BPFsclYrCnsldtdFinStatementDte,BPCapitalStockAmtInBalShtCrcy,BPIssdStockCptlAmtInBalShtCrcy,BPPartcipnCertAmtInBalShtCrcy,BPEquityCapitalAmtInBalShtCrcy,BPGrossPremiumAmtInBalShtCrcy,BPNetPremiumAmtInBalShtCrcy,BPAnnualSalesAmtInBalShtCrcy,BPAnnualNetIncAmtInBalShtCrcy,BPDividendDistrAmtInBalShtCrcy,BPDebtRatioInYears,BPAnnualPnLAmtInBalShtCrcy,BPBalSheetTotalAmtInBalShtCrcy,BPNumberOfEmployees,BPCptlReserveAmtInBalShtCrcy,BPLglRevnRsrvAmtInBalShtCrcy,RevnRsrvOwnStkAmtInBalShtCrcy,BPStatryReserveAmtInBalShtCrcy,BPOthRevnRsrvAmtInBalShtCrcy,BPPnLCarryfwdAmtInBalShtCrcy,BPSuborddLbltyAmtInBalShtCrcy,BPRetOnTotalCptlEmpldInPercent,BPDebtClearancePeriodInYears,BPFinancingCoeffInPercent,BPEquityRatioInPercent
n-18283387,3387,83387,2021-03-26,2010-04-21,2001-04-02,false,2019-09-29,2009-07-23,2391395188731.123,2522946243107.994,879416741892.942,6330545048882.478,8670945089517.806,5878227148829.215,8557398431726.469,6256245520930.69,9916294504470.406,494.335,2343610683074.743,1337487488816.541,8283387,8995827990130.8,2567841107628.128,3547889240199.738,9226545788066.604,2731726434381.748,7853712594064.877,4433781396602.401,270.51,449.97,280.66,503.19
n-18283388,3388,83388,2023-01-10,2023-09-12,2000-03-15,true,2021-01-20,2007-10-08,5693106641793.512,4549504569107.087,215851346436.811,5711130864929.999,1233227209883.565,1806452453475.824,2953763035327.349,2236198926647.64,1378111462478.849,43.142,1523887909869.228,5057174737877.472,8283388,3067270984138.792,1736951894996.576,4432697859852.672,9176923077891.557,9017978653539.975,1187084216768.476,7638511747325.47,796.36,659.71,210.96,377.13
n-18283389,3389,83389,2007-08-20,2014-11-04,2014-08-10,false,2012-08-15,2017-03-18,6520569322874.446,9405677732567.459,5419474116783.537,7569027868326.734,2580125386885.699,8912683932172.885,3747869904592.738,8837333597015.229,1348867299698.399,730.6,1524184993428.966,4713890909658.756,8283389,1515744862122.178,4397578114408.211,7466236642411.422,920442596595.268,4115561790673.188,4994364538897.841,7763506507451.731,416.02,560.71,620.34,98.12
n-18283390,3390,83390,2021-05-09,2019-07-26,2005-11-29,true,2002-10-10,2013-08-12,8899321151480.332,9782114386485.223,2487921224518.047,1496669202367.732,7389663040526.139,6601554175012.288,5722638132210.574,4492158315828.007,3111721482149.351,714.28,8104166936790.551,838830533090.567,8283390,419697244159.326,2115794170440.436,1156227494504.54,4310431610798.109,2258081774263.17,5269355025300.576,2411973889879.352,481.49,799.92,23.92,524
n-18283391,3391,83391,2017-08-30,2017-09-06,2001-08-12,false,2016-12-24,2010-08-28,6074150293816.816,4806059824823.448,4660698476175.576,1063737263329.331,5560184408324.523,3875432360430.376,7095775648035.181,2934414209758.658,3262402011205.825,220.682,4118161586516.066,4309598580947.387,8283391,5418852255436.883,1814055463737.608,9134587726697.627,7608171144802.729,1703622203874.489,2464976869653.954,8951320215415.47,979.74,177.98,229.31,654.55
n-18283392,3392,83392,2019-01-13,2000-06-25,2022-12-17,true,2005-06-11,2005-03-05,6358198681679.735,7738819619045.288,6880696278260.383,8763981022906.28,3472659123178.939,906418301454.228,4310638373402.513,7340713174258.402,2571650323084.968,645.796,2738303814011.111,8864437121698.184,8283392,5537621793244.914,6991552504546.106,3017769121512.157,4941027340121.838,5763449041924.999,1079415344592.089,2865616707072.346,886.46,512.06,186.36,860.69
n-18283393,3393,83393,2001-01-02,2016-05-26,2017-12-08,false,2021-03-01,2000-05-02,2496704701334.138,4426423857924.128,8596988592369.651,2180419285607.176,409287675450.293,5399458112036.966,6020099653910.289,8473940925437.692,918751675028.069,882.727,7946157192701.877,7924339489466.488,8283393,8679280423339.612,1121824966675.782,356063771251.516,8099051057208.6,4857809955395.151,3694115718829.418,4491696325718.177,376.47,539.78,721.06,244.93
n-18283394,3394,83394,2002-10-12,2021-02-05,2015-09-29,true,2012-11-28,2007-09-17,2875134395692.099,5481959852681.682,3820351683991.228,7067062710940.697,2992170526466.709,4071020971707.667,4155044006760.723,152271059038.634,586249399381.938,627.478,2079019694751.779,3546163386138.36,8283394,1212858733117.008,143516535280.813,7004858952657.731,7338535400715.362,8412445258263.584,304236852132.488,9180265267923.889,631.74,892.67,458.7,197.93
n-18283395,3395,83395,2013-07-20,2004-05-02,2002-10-07,false,2001-08-12,2014-05-03,2793452152489.94,5264564867628.897,241089916493.343,7830660609351.415,3715687635772.655,7902222499724.579,6508414702967.905,1909394738826.039,262308417296.405,820.921,8381064233871.109,1987065724576.239,8283395,3478259022371.402,6800439029075.345,2244233085717.734,6272345309787.453,5390027282593.116,3818369658302.362,2415710407982.261,577.15,358.19,776.65,935.39
n-18283396,3396,83396,2019-04-24,2007-06-14,2010-02-12,true,2019-07-30,2015-12-21,2377220463568.802,3153382101193.163,1562787917712.701,6768129933270.993,2944972949660.59,8408772940421.905,7677812377382.719,7339830105969.042,2076068371011.137,899.722,6760525978887.056,1950503676220.347,8283396,9971369516180.47,9621936310068.582,17627692115.737,9630186043543.096,4758815986066.537,8797171298757.21,7785393131554.105,668.56,882.75,634.3,229.35
n-18283397,3397,83397,2010-11-12,2017-06-18,2001-05-29,false,2019-11-29,2020-11-07,3363050710778.059,431048416689.88,4362572607662.305,243547464700.796,3162113651329.505,1007162042590.569,1126651315671.045,6789636391124.054,7203219504593.729,498.375,4267836626198.967,8094615259797.629,8283397,8553134149717.698,3662160039164.061,6662756849821.969,3767276321571.886,3686731744750.737,8763330837915.138,1732710901317.858,768.14,498.82,299.42,194.99
n-18283398,3398,83398,2005-08-23,2014-12-02,2003-12-23,true,2001-05-20,2018-09-08,2565089622934.406,2873717898768.541,5374959418511.438,9039280551739.947,6030509222619.087,3164389613505.832,9146520163350.273,7505749385093.69,686391735135.396,110.598,4519309046584.637,8516901914464.379,8283398,8614333048040.405,2238912646482.528,3246880654107.043,7651280360901.741,2815175128869.05,7573669798926.212,7714735709557.323,470.08,335.28,687.24,83.71
n-18283399,3399,83399,2001-11-16,2005-03-05,2009-06-12,false,2002-06-01,2006-06-06,2524990580814.133,5070629098352.857,1662984697804.169,3582689872585.392,5588122536393.615,548961006901.284,7027378138149.803,1366614580533.816,2364770963053.958,101.594,9264612766058.65,5298160486300.099,8283399,7584838441303.24,9966247971869.992,7658631920142.695,684090911093.436,4772616524416.774,6411679386920.482,387729920329.642,596.82,648.9,172.51,109.53
n-18283400,3400,83400,2019-11-11,2006-11-23,2014-10-29,true,2011-11-07,2015-02-17,476079234702.788,76172979671.721,2465691569612.709,2090197148929.586,5164631812135.067,2219567912105.695,92859697380.983,5949739000764.63,1484999860899.704,904.284,8064514149422.792,1463060680701.89,8283400,743147597783.422,572084115433.163,6028879668948.736,3695571239441.149,6152851316099.995,3806638634231.382,309095930672.474,673.2,639.57,692.04,855.95
n-18283401,3401,83401,2013-11-08,2019-10-06,2003-01-13,false,2021-02-06,2009-10-15,9606770257353.525,5882860267629.887,4913639949581.599,6419726763691.669,6537558788870.748,2307227388385.405,5587581554786.512,1824609797740.6,1723433334260.145,209.615,1270038191602.009,2863445227673.294,8283401,9795664417937.305,9564106351885.71,6743044940308.773,8560361084923.127,1236215669068.548,2654910193276.416,7596228637520.075,789.28,247.3,270.2,224.74
n-18283402,3402,83402,2015-08-17,2010-09-13,2019-01-10,true,2021-09-09,2012-08-14,7413150894655.457,5272829707046.202,256186104218.726,7636283620637.915,1607059032643.204,7886762510522.193,580985292727.504,9301984870642.703,619213400784.558,645.449,6986479739845.916,5602232117174.45,8283402,2193457603217.147,4669432858675.422,4089717409335.796,8631272790305.324,7823284502950.7,5493522508422.7,8966727019107.06,540.67,84.2,758.3,613.05
n-18283403,3403,83403,2002-10-25,2019-09-12,2006-02-15,false,2012-08-02,2019-10-22,2388818366511.084,7681785869975.748,5323385209241.972,4549260671058.933,605763446209.252,6970128814675.963,7781892643820.614,1716636603740.627,216192174290.601,427.635,1204572493612.912,9248478988828.438,8283403,1955684700184.104,3819407247806.537,8875148809280.41,5788129950894.255,4192908313342.943,4437714921386.884,7054641848776.155,462.94,295.17,722.44,195.48
n-18283404,3404,83404,2020-10-03,2012-12-05,2006-03-03,true,2021-08-30,2006-07-15,2829344818717.5,9213446731973.824,7185336899678.638,7271870983156.133,710785001761.052,5009773860247.103,9449957659298.012,4103053125212.66,9153042469227.115,896.729,5744190537309.001,6235555728154.844,8283404,8133085377660.658,1970809840968.229,6504309662781.108,2022708198612.333,7000611350127.548,1283599867218.401,6524810631261.704,289.71,120.04,336.34,296.87
n-18283405,3405,83405,2023-09-26,2012-11-21,2014-05-24,false,2003-05-21,2000-04-22,4214869523041.938,4210294625066.277,2113932677592.552,1142881393291.479,3530654932033.508,4047698024129.842,2196413647565.553,2408640511648.357,9957450962645.28,122.134,7378724134375.704,3082566696202.848,8283405,669599905235.231,49461894816.382,4434234889618.282,9900523584595.389,9499919309084.67,9319939858203.367,7985821309526.562,255.98,619.29,685.26,108.2
n-18283406,3406,83406,2000-06-09,2002-06-10,2018-11-11,true,2008-05-30,2007-09-08,8663850331317.245,1499268998210.677,4364253458600.303,118705652253.505,9979500290348.537,4817365679522.603,9271474326252.879,2155240195204.433,603923038.115,406.159,3917757955702.547,9157631843732.57,8283406,5097080235093.451,9433545995647.432,7095781942178.564,3783704664702.516,1953063189546.118,8113202808748.861,6937292269671.936,793.17,610.26,535.14,663.07
n-18283407,3407,83407,2023-08-13,2007-09-25,2002-01-05,false,2023-06-03,2003-08-18,2879062570455.488,717791327249.491,6677024728303.534,5027786124510.076,6256190761884.974,601741488713.06,1735376470956.328,8474506139496.633,2184058873904.695,222.776,338255751934.64,9951415508743.057,8283407,1701039716924.623,4850520078757.776,1016736063791.671,5993490219467.786,173380041750.939,3603335606358.874,2797358297751.254,689.04,227.16,567.1,122.5
n-18283408,3408,83408,2002-12-10,2001-04-13,2011-03-30,true,2019-02-18,2015-07-26,854743071186.783,7642980903695.717,7116067336254.3,321950459302.046,4230851296713.84,2480865175298.532,8816822872614.033,6524688210176.078,9995480175777.492,810.657,9571532182017.162,2093300790934.351,8283408,3768833492596.753,9771542428882.625,4115268483601.074,312975955240.426,5300864764920.841,2055271263094.593,4093672334206.861,927.01,356.8,76.35,710.49
n-18283409,3409,83409,2008-07-08,2022-09-16,2019-12-05,false,2004-08-11,2013-02-28,6161573425019.422,5179612502333.738,9844683519780.318,1420366878053.736,3861510030409.917,6809221247063.462,4527630847998.459,6427053775774.543,7241578845535.927,774.788,9583975388389.121,4788109557870.227,8283409,9007464287346.973,5029304901261.628,1757223127250.605,633202448723.671,7891059207368.652,1952899227116.617,7407259576633.65,724.43,26.11,739.62,321.02
n-18283410,3410,83410,2010-07-02,2017-12-13,2009-01-22,true,2000-08-29,2017-03-12,4837607014595.455,5844519494409.224,3863362711456.55,751278057244.27,1644617129158.682,8331675351115.068,4430757060801.58,2658566775760.145,8895702648562.615,683.868,4841987108839.513,1626758756695.933,8283410,5299107440143.817,4247743203489.695,5011886489407.644,3618725415863.196,264089345110.294,5751618570391.559,2392639540839.73,171.39,808.12,533.79,710.59
n-18283411,3411,83411,2004-09-18,2002-03-15,2021-01-20,false,2022-06-20,2008-03-19,1377934282347.683,9447573123152.354,4812492124453.806,7938475190942.491,54422938476.146,6728485328289.087,7194082611636.044,2506612312124.58,637274444658.541,101.219,2768310197531.022,1019568428225.345,8283411,7998858683015.294,5008473804971.565,7738867139826.001,6349244948289.788,9033134006210.717,3488208489213.888,9828706466716.455,240.77,733.98,499.45,759.71
n-18283412,3412,83412,2011-11-13,2008-08-02,2016-10-23,true,2022-03-08,2019-06-10,9719870030978.236,9478851553010.19,2608175550702.543,4449951050448.017,4574166595647.734,7164928769810.038,5721039734548.33,6960201062627.346,7320496071636.33,777.595,5421793508548.551,1744612811375.748,8283412,6744995809988.009,6688861493980.304,1349378698831.864,1534268840227.863,4317905591125.546,8227375104372.035,3107298273025.519,202.98,984.68,36.57,344.9
n-18283413,3413,83413,2017-08-21,2022-07-30,2020-06-07,false,2006-10-01,2011-09-23,8115681127628.107,6986858961972.704,1140208900094.679,8747095410273.603,9027486586236.934,2512812672577.851,4703932316308.997,1242128072470.612,6510162586530.423,962.233,4185109869934.215,6149778830102.937,8283413,7165291627165.312,6555892998558.577,7311176648527.559,5342249385786.917,6765172630094.749,2465458371606.311,2547601031383.674,975.68,54.3,482.32,4.32
n-18283414,3414,83414,2008-01-05,2014-11-29,2015-11-18,true,2020-08-04,2020-09-15,3548885288359.867,1136431470061.027,7209650545393.428,2371823235786.192,920645582713.018,3537029954960.517,5096359555698.154,4730640254092.438,7821482804463.071,736.857,3394047477729.42,9759567506762.8,8283414,4042948463681.439,1897370722390.531,3377804811822.537,6051551487413.367,6708083492564.502,1017848553599.897,8378246975380.174,496.92,723.08,80.63,933.06
n-18283415,3415,83415,2018-06-24,2007-01-29,2022-07-08,false,2018-04-08,2020-06-12,4844350244898.984,153891800.007,4593721869113.158,635145765432.876,6279771139918.426,8225328249008.197,6654627334481.503,1807956753697.511,2501317678876.239,476.476,9546249552958.645,5332312507230.989,8283415,652324685138.791,5248470114086.135,4303923781450.484,6830066819882.376,7722214725198.235,1735160581845.249,9120566893335.264,653.04,19.41,79.74,499.77
n-18283416,3416,83416,2008-12-25,2005-05-25,2007-05-13,true,2014-05-29,2022-03-20,8146018268372.632,5488500411574.588,7895801844259.451,4422012292965.39,1401627325544.89,157177973066.127,8893156982351.207,2160142388624.504,619535031501.158,267.892,9975116104912.762,4428224297583.872,8283416,6570690843897.085,1788781961187.942,3835067390761.967,8350200902756.597,7295167180625.63,291771301552.7,3375804847824.618,690.12,603.16,320.25,304.36
n-18283417,3417,83417,2000-01-15,2010-06-28,2016-08-14,false,2002-07-24,2009-05-09,5100951133153.03,4466592450326.806,3567811462213.968,1361072587458.359,5458686943542.507,3440657181560.81,1608843422236.621,7089625011313.235,8457523597057.323,899.07,9673354424587.752,9259870443874.107,8283417,8104013674403.212,4255614973665.144,7956499728785.367,8699648585397.775,6144530144099.489,2492182044748.609,8959447213098.234,873.75,317.32,112.73,492.98
n-18283418,3418,83418,2011-05-18,2013-06-18,2005-01-31,true,2010-12-29,2004-04-14,1437216299363.236,2099867785228.236,3808855431461.736,2452353336078.56,6710391240163.269,1956666901228.149,5292880014874.393,475499229408.412,8291604003226.521,378.881,1884702500398.174,7664771542114.122,8283418,984198175881.813,5936176695733.278,80123498642.92,568881655379.116,3052906490558.855,6231062654041.253,5581874655159.82,883.54,556.3,5.1,349.05
n-18283419,3419,83419,2002-01-03,2021-02-09,2014-06-21,false,2003-06-29,2006-10-05,2790998695475.302,3231503747595.01,3574509689392.684,6900331802052.349,7996313960925.597,4800846700729.608,920882871911.869,2707398626844.681,2043507509479.359,285.505,5286505621362.848,7953809926694.826,8283419,6626769771445.907,1395105963788.5,169552573278.865,4104658131724.593,166496137347.494,4146013484824.84,7915273405621.733,586.28,520.32,12.8,12.73
n-18283420,3420,83420,2015-10-06,2010-03-21,2017-04-23,true,2016-11-03,2015-09-24,4435162016910.206,9138075311437.39,9126422649449.438,2221154665602.707,1995974140135.03,1389095057045.676,5670430102721.414,1406647848856.931,9017565757746.713,713.935,2007920738610.215,6761229664095.521,8283420,4043998956179.862,2652891661556.992,176622469612.547,5479233544560,9241818526508.572,8543474842876.078,6131444305707.762,68.51,288.64,957.28,883.33
n-18283421,3421,83421,2009-10-10,2007-05-19,2012-05-10,false,2022-01-04,2022-10-23,9088057643777.18,302500927441.811,6308992643783.871,7704430623624.265,6595555541848.278,7160758899949.503,2789342706403.927,470764145488.664,9792174315540.393,372.794,9936254176636.223,817987792635.625,8283421,9916452487464.01,8167257225141.662,1126915040270.894,4609002789941.906,637181606046.945,6124881087899.196,3606692902333.532,404.83,865.41,78.11,867.24
n-18283422,3422,83422,2020-11-06,2011-04-17,2002-06-20,true,2017-12-26,2013-08-09,5197994232802.299,9515309433296.84,759946351241.787,9262088814640.236,1360595806111.026,6681869330314.215,7224859083575.637,4958234898179.023,9839919168095.799,363.334,8156996512918.067,4129240537353.22,8283422,8446884292122.593,3437736069707.286,5358384736551.136,4436685514268.068,4343718501747.917,7349821743570.216,6241063418150.174,469.94,120.47,650.3,133.69
n-18283423,3423,83423,2003-03-24,2017-02-02,2014-11-13,false,2015-03-24,2006-05-31,4154245594697.657,1424399220885.735,8715654276813.261,1940368532154.793,553714973250.986,1379863122526.937,8264232977458.444,3204848995322.035,4627511662103.617,917.932,2900791840977.069,7314782248451.52,8283423,4266222493178.849,9485353402922.236,6022569790403.58,3596165947854.97,1523841333210.122,927190547506.963,1634007091988.128,946.33,637.76,637.56,98.56
n-18283424,3424,83424,2002-11-04,2005-10-10,2017-10-04,true,2017-05-07,2017-02-27,7467387841200.142,1536641417501.023,6099737244698.388,6917391762451.844,7671574881484.235,9140473379991.645,2864140101081.945,434258744421.58,2288474618175.537,158.137,4679237245516.268,306564426283.236,8283424,9092338919972.79,9202646611680.479,4617401065195.487,9384728621092.365,9256638401348.652,9053869116817.549,1598256043982.297,967.4,982.7,430.77,922.37
n-18283425,3425,83425,2001-12-11,2009-05-08,2004-02-09,false,2008-05-05,2008-08-08,6038534884596.562,6481130221668.152,7883779716066.874,95359731053.504,5024548102548.23,7285716209923.781,5317917172348.709,7758429651557.744,1090486113043.368,343.512,3287248141433.311,7680386996652.262,8283425,9481865188768.97,5670453705758.471,6920977221118.898,8210336858766.265,3077231151023.527,9780944619974.635,6745308314198.596,900.16,735.14,337.59,962.45
n-18283426,3426,83426,2017-09-17,2000-01-17,2004-07-08,true,2009-11-07,2006-08-25,442327835986.148,1033816165449.633,7442598358260.184,380000712497.096,9592736835705.088,774872911807.434,8732254764760.234,4685676153996.88,6005191975773.484,502.694,5284106293979.814,3948486277446.34,8283426,267092910239.254,528851534128.17,1631457963998.102,2122432288551.126,8333217730903.532,5194559833572.905,6997002917838.884,34.37,995.57,424.88,687.85
n-18283427,3427,83427,2002-09-22,2016-08-05,2008-04-14,false,2010-06-26,2010-10-18,5979812731616.616,93658738857.34,5446633974047.22,9033055958835.674,3923209313116.671,2927340222231.607,7759876675076.062,7378756234506.23,928235375275.964,101.132,7382762456644.643,4183738376133.071,8283427,2798883998059.312,2417517771198.984,8152346399932.383,7771304636152.438,5830699129507.503,281748507941.154,7953463748819.026,444.87,265.68,752.05,337.52
