Supplier,CompanyCode,AuthorizationGroup,CompanyCodeName,PaymentBlockingReason,SupplierIsBlockedForPosting,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkPhoneNumber,SupplierClerk,SupplierClerkURL,PaymentMethodsList,PaymentReason,PaymentTerms,ClearCustomerSupplier,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,PaymentIsToBeSentByEDI,HouseBank,CheckPaidDurationInDays,Currency,BillOfExchLmtAmtInCoCodeCrcy,SupplierClerkIDBySupplier,ReconciliationAccount,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,SupplierHeadOffice,AlternativePayee,LayoutSortingRule,APARToleranceGroup,SupplierCertificationDate,SupplierAccountNote,WithholdingTaxCountry,DeletionIndicator,CashPlanningGroup,IsToBeCheckedForDuplicates,MinorityGroup,CreditMemoPaymentTerms,SupplierAccountGroup,to_Supplier_Supplier
y-27253454,3454,3454,CompanyCodeName-27253454,4,true,54,countingClerkFaxNumber-27253454,ntingClerkPhoneNumber-27253454,rClerk-27253454,SupplierClerkURL-27253454,t-27253454,3454,3454,true,true,true,true,53454,775,53454,11465880142.016,ier-27253454,t-27253454,54,2014-08-05,54,e-27253454,e-27253454,454,3454,2000-02-18,SupplierAccountNote-27253454,454,true,p-27253454,true,454,3454,3454,r-16594024
y-27253455,3455,3455,CompanyCodeName-27253455,5,false,55,countingClerkFaxNumber-27253455,ntingClerkPhoneNumber-27253455,rClerk-27253455,SupplierClerkURL-27253455,t-27253455,3455,3455,false,false,false,false,53455,628,53455,11176393614.295,ier-27253455,t-27253455,55,2001-01-26,55,e-27253455,e-27253455,455,3455,2003-08-18,SupplierAccountNote-27253455,455,false,p-27253455,false,455,3455,3455,r-16594024
y-27253456,3456,3456,CompanyCodeName-27253456,6,true,56,countingClerkFaxNumber-27253456,ntingClerkPhoneNumber-27253456,rClerk-27253456,SupplierClerkURL-27253456,t-27253456,3456,3456,true,true,true,true,53456,413,53456,58482972391.281,ier-27253456,t-27253456,56,2002-03-08,56,e-27253456,e-27253456,456,3456,2003-08-09,SupplierAccountNote-27253456,456,true,p-27253456,true,456,3456,3456,r-16594024
y-27253457,3457,3457,CompanyCodeName-27253457,7,false,57,countingClerkFaxNumber-27253457,ntingClerkPhoneNumber-27253457,rClerk-27253457,SupplierClerkURL-27253457,t-27253457,3457,3457,false,false,false,false,53457,263,53457,79602409674.188,ier-27253457,t-27253457,57,2021-03-20,57,e-27253457,e-27253457,457,3457,2019-04-08,SupplierAccountNote-27253457,457,false,p-27253457,false,457,3457,3457,r-16594024
y-27253458,3458,3458,CompanyCodeName-27253458,8,true,58,countingClerkFaxNumber-27253458,ntingClerkPhoneNumber-27253458,rClerk-27253458,SupplierClerkURL-27253458,t-27253458,3458,3458,true,true,true,true,53458,977,53458,55350607063.965,ier-27253458,t-27253458,58,2006-08-16,58,e-27253458,e-27253458,458,3458,2000-05-25,SupplierAccountNote-27253458,458,true,p-27253458,true,458,3458,3458,r-16594024
y-27253459,3459,3459,CompanyCodeName-27253459,9,false,59,countingClerkFaxNumber-27253459,ntingClerkPhoneNumber-27253459,rClerk-27253459,SupplierClerkURL-27253459,t-27253459,3459,3459,false,false,false,false,53459,729,53459,62854833895.619,ier-27253459,t-27253459,59,2006-11-24,59,e-27253459,e-27253459,459,3459,2011-05-20,SupplierAccountNote-27253459,459,false,p-27253459,false,459,3459,3459,r-16594024
y-27253460,3460,3460,CompanyCodeName-27253460,0,true,60,countingClerkFaxNumber-27253460,ntingClerkPhoneNumber-27253460,rClerk-27253460,SupplierClerkURL-27253460,t-27253460,3460,3460,true,true,true,true,53460,884,53460,11396622537.665,ier-27253460,t-27253460,60,2004-09-22,60,e-27253460,e-27253460,460,3460,2000-04-25,SupplierAccountNote-27253460,460,true,p-27253460,true,460,3460,3460,r-16594024
y-27253461,3461,3461,CompanyCodeName-27253461,1,false,61,countingClerkFaxNumber-27253461,ntingClerkPhoneNumber-27253461,rClerk-27253461,SupplierClerkURL-27253461,t-27253461,3461,3461,false,false,false,false,53461,297,53461,36791828641.118,ier-27253461,t-27253461,61,2018-11-15,61,e-27253461,e-27253461,461,3461,2017-08-20,SupplierAccountNote-27253461,461,false,p-27253461,false,461,3461,3461,r-16594024
y-27253462,3462,3462,CompanyCodeName-27253462,2,true,62,countingClerkFaxNumber-27253462,ntingClerkPhoneNumber-27253462,rClerk-27253462,SupplierClerkURL-27253462,t-27253462,3462,3462,true,true,true,true,53462,682,53462,60096302908.988,ier-27253462,t-27253462,62,2001-03-28,62,e-27253462,e-27253462,462,3462,2005-10-10,SupplierAccountNote-27253462,462,true,p-27253462,true,462,3462,3462,r-16594024
y-27253463,3463,3463,CompanyCodeName-27253463,3,false,63,countingClerkFaxNumber-27253463,ntingClerkPhoneNumber-27253463,rClerk-27253463,SupplierClerkURL-27253463,t-27253463,3463,3463,false,false,false,false,53463,35,53463,35325261808.275,ier-27253463,t-27253463,63,2004-03-25,63,e-27253463,e-27253463,463,3463,2023-10-10,SupplierAccountNote-27253463,463,false,p-27253463,false,463,3463,3463,r-16594024
y-27253464,3464,3464,CompanyCodeName-27253464,4,true,64,countingClerkFaxNumber-27253464,ntingClerkPhoneNumber-27253464,rClerk-27253464,SupplierClerkURL-27253464,t-27253464,3464,3464,true,true,true,true,53464,518,53464,86976332007.556,ier-27253464,t-27253464,64,2012-04-11,64,e-27253464,e-27253464,464,3464,2021-12-14,SupplierAccountNote-27253464,464,true,p-27253464,true,464,3464,3464,r-16594024
y-27253465,3465,3465,CompanyCodeName-27253465,5,false,65,countingClerkFaxNumber-27253465,ntingClerkPhoneNumber-27253465,rClerk-27253465,SupplierClerkURL-27253465,t-27253465,3465,3465,false,false,false,false,53465,774,53465,80940154279.076,ier-27253465,t-27253465,65,2013-11-11,65,e-27253465,e-27253465,465,3465,2000-06-03,SupplierAccountNote-27253465,465,false,p-27253465,false,465,3465,3465,r-16594024
y-27253466,3466,3466,CompanyCodeName-27253466,6,true,66,countingClerkFaxNumber-27253466,ntingClerkPhoneNumber-27253466,rClerk-27253466,SupplierClerkURL-27253466,t-27253466,3466,3466,true,true,true,true,53466,904,53466,34034292128.377,ier-27253466,t-27253466,66,2008-01-26,66,e-27253466,e-27253466,466,3466,2021-10-31,SupplierAccountNote-27253466,466,true,p-27253466,true,466,3466,3466,r-16594024
y-27253467,3467,3467,CompanyCodeName-27253467,7,false,67,countingClerkFaxNumber-27253467,ntingClerkPhoneNumber-27253467,rClerk-27253467,SupplierClerkURL-27253467,t-27253467,3467,3467,false,false,false,false,53467,228,53467,40844416585.636,ier-27253467,t-27253467,67,2005-02-01,67,e-27253467,e-27253467,467,3467,2006-01-19,SupplierAccountNote-27253467,467,false,p-27253467,false,467,3467,3467,r-16594024
y-27253468,3468,3468,CompanyCodeName-27253468,8,true,68,countingClerkFaxNumber-27253468,ntingClerkPhoneNumber-27253468,rClerk-27253468,SupplierClerkURL-27253468,t-27253468,3468,3468,true,true,true,true,53468,232,53468,60418632275.791,ier-27253468,t-27253468,68,2020-01-01,68,e-27253468,e-27253468,468,3468,2013-09-05,SupplierAccountNote-27253468,468,true,p-27253468,true,468,3468,3468,r-16594024
y-27253469,3469,3469,CompanyCodeName-27253469,9,false,69,countingClerkFaxNumber-27253469,ntingClerkPhoneNumber-27253469,rClerk-27253469,SupplierClerkURL-27253469,t-27253469,3469,3469,false,false,false,false,53469,107,53469,43772489760.462,ier-27253469,t-27253469,69,2004-05-17,69,e-27253469,e-27253469,469,3469,2018-08-17,SupplierAccountNote-27253469,469,false,p-27253469,false,469,3469,3469,r-16594024
y-27253470,3470,3470,CompanyCodeName-27253470,0,true,70,countingClerkFaxNumber-27253470,ntingClerkPhoneNumber-27253470,rClerk-27253470,SupplierClerkURL-27253470,t-27253470,3470,3470,true,true,true,true,53470,331,53470,46016055981.372,ier-27253470,t-27253470,70,2005-09-06,70,e-27253470,e-27253470,470,3470,2020-02-13,SupplierAccountNote-27253470,470,true,p-27253470,true,470,3470,3470,r-16594024
y-27253471,3471,3471,CompanyCodeName-27253471,1,false,71,countingClerkFaxNumber-27253471,ntingClerkPhoneNumber-27253471,rClerk-27253471,SupplierClerkURL-27253471,t-27253471,3471,3471,false,false,false,false,53471,769,53471,11823088503.159,ier-27253471,t-27253471,71,2000-06-30,71,e-27253471,e-27253471,471,3471,2023-07-11,SupplierAccountNote-27253471,471,false,p-27253471,false,471,3471,3471,r-16594024
y-27253472,3472,3472,CompanyCodeName-27253472,2,true,72,countingClerkFaxNumber-27253472,ntingClerkPhoneNumber-27253472,rClerk-27253472,SupplierClerkURL-27253472,t-27253472,3472,3472,true,true,true,true,53472,72,53472,74850425981.779,ier-27253472,t-27253472,72,2012-07-27,72,e-27253472,e-27253472,472,3472,2005-01-17,SupplierAccountNote-27253472,472,true,p-27253472,true,472,3472,3472,r-16594024
y-27253473,3473,3473,CompanyCodeName-27253473,3,false,73,countingClerkFaxNumber-27253473,ntingClerkPhoneNumber-27253473,rClerk-27253473,SupplierClerkURL-27253473,t-27253473,3473,3473,false,false,false,false,53473,536,53473,61801291885.566,ier-27253473,t-27253473,73,2018-08-20,73,e-27253473,e-27253473,473,3473,2006-05-25,SupplierAccountNote-27253473,473,false,p-27253473,false,473,3473,3473,r-16594024
y-27253474,3474,3474,CompanyCodeName-27253474,4,true,74,countingClerkFaxNumber-27253474,ntingClerkPhoneNumber-27253474,rClerk-27253474,SupplierClerkURL-27253474,t-27253474,3474,3474,true,true,true,true,53474,844,53474,95352562024.131,ier-27253474,t-27253474,74,2007-11-08,74,e-27253474,e-27253474,474,3474,2006-07-08,SupplierAccountNote-27253474,474,true,p-27253474,true,474,3474,3474,r-16594024
y-27253475,3475,3475,CompanyCodeName-27253475,5,false,75,countingClerkFaxNumber-27253475,ntingClerkPhoneNumber-27253475,rClerk-27253475,SupplierClerkURL-27253475,t-27253475,3475,3475,false,false,false,false,53475,468,53475,42146485986.186,ier-27253475,t-27253475,75,2017-05-08,75,e-27253475,e-27253475,475,3475,2019-12-14,SupplierAccountNote-27253475,475,false,p-27253475,false,475,3475,3475,r-16594024
y-27253476,3476,3476,CompanyCodeName-27253476,6,true,76,countingClerkFaxNumber-27253476,ntingClerkPhoneNumber-27253476,rClerk-27253476,SupplierClerkURL-27253476,t-27253476,3476,3476,true,true,true,true,53476,817,53476,26066501651.917,ier-27253476,t-27253476,76,2005-09-08,76,e-27253476,e-27253476,476,3476,2021-08-09,SupplierAccountNote-27253476,476,true,p-27253476,true,476,3476,3476,r-16594024
y-27253477,3477,3477,CompanyCodeName-27253477,7,false,77,countingClerkFaxNumber-27253477,ntingClerkPhoneNumber-27253477,rClerk-27253477,SupplierClerkURL-27253477,t-27253477,3477,3477,false,false,false,false,53477,893,53477,38313343344.081,ier-27253477,t-27253477,77,2006-05-27,77,e-27253477,e-27253477,477,3477,2013-05-11,SupplierAccountNote-27253477,477,false,p-27253477,false,477,3477,3477,r-16594024
y-27253478,3478,3478,CompanyCodeName-27253478,8,true,78,countingClerkFaxNumber-27253478,ntingClerkPhoneNumber-27253478,rClerk-27253478,SupplierClerkURL-27253478,t-27253478,3478,3478,true,true,true,true,53478,346,53478,24441992735.592,ier-27253478,t-27253478,78,2001-05-20,78,e-27253478,e-27253478,478,3478,2004-06-12,SupplierAccountNote-27253478,478,true,p-27253478,true,478,3478,3478,r-16594024
y-27253479,3479,3479,CompanyCodeName-27253479,9,false,79,countingClerkFaxNumber-27253479,ntingClerkPhoneNumber-27253479,rClerk-27253479,SupplierClerkURL-27253479,t-27253479,3479,3479,false,false,false,false,53479,599,53479,36887804883.195,ier-27253479,t-27253479,79,2002-06-11,79,e-27253479,e-27253479,479,3479,2017-03-27,SupplierAccountNote-27253479,479,false,p-27253479,false,479,3479,3479,r-16594024
y-27253480,3480,3480,CompanyCodeName-27253480,0,true,80,countingClerkFaxNumber-27253480,ntingClerkPhoneNumber-27253480,rClerk-27253480,SupplierClerkURL-27253480,t-27253480,3480,3480,true,true,true,true,53480,499,53480,75002929923.214,ier-27253480,t-27253480,80,2007-02-24,80,e-27253480,e-27253480,480,3480,2007-04-12,SupplierAccountNote-27253480,480,true,p-27253480,true,480,3480,3480,r-16594024
y-27253481,3481,3481,CompanyCodeName-27253481,1,false,81,countingClerkFaxNumber-27253481,ntingClerkPhoneNumber-27253481,rClerk-27253481,SupplierClerkURL-27253481,t-27253481,3481,3481,false,false,false,false,53481,902,53481,61250925711.394,ier-27253481,t-27253481,81,2013-05-13,81,e-27253481,e-27253481,481,3481,2013-06-17,SupplierAccountNote-27253481,481,false,p-27253481,false,481,3481,3481,r-16594024
y-27253482,3482,3482,CompanyCodeName-27253482,2,true,82,countingClerkFaxNumber-27253482,ntingClerkPhoneNumber-27253482,rClerk-27253482,SupplierClerkURL-27253482,t-27253482,3482,3482,true,true,true,true,53482,312,53482,26600150581.756,ier-27253482,t-27253482,82,2023-04-17,82,e-27253482,e-27253482,482,3482,2018-06-27,SupplierAccountNote-27253482,482,true,p-27253482,true,482,3482,3482,r-16594024
y-27253483,3483,3483,CompanyCodeName-27253483,3,false,83,countingClerkFaxNumber-27253483,ntingClerkPhoneNumber-27253483,rClerk-27253483,SupplierClerkURL-27253483,t-27253483,3483,3483,false,false,false,false,53483,659,53483,97767184175.649,ier-27253483,t-27253483,83,2001-10-31,83,e-27253483,e-27253483,483,3483,2023-04-03,SupplierAccountNote-27253483,483,false,p-27253483,false,483,3483,3483,r-16594024
y-27253484,3484,3484,CompanyCodeName-27253484,4,true,84,countingClerkFaxNumber-27253484,ntingClerkPhoneNumber-27253484,rClerk-27253484,SupplierClerkURL-27253484,t-27253484,3484,3484,true,true,true,true,53484,549,53484,11888626269.123,ier-27253484,t-27253484,84,2004-03-07,84,e-27253484,e-27253484,484,3484,2009-04-21,SupplierAccountNote-27253484,484,true,p-27253484,true,484,3484,3484,r-16594024
y-27253485,3485,3485,CompanyCodeName-27253485,5,false,85,countingClerkFaxNumber-27253485,ntingClerkPhoneNumber-27253485,rClerk-27253485,SupplierClerkURL-27253485,t-27253485,3485,3485,false,false,false,false,53485,974,53485,76187862172.255,ier-27253485,t-27253485,85,2023-02-04,85,e-27253485,e-27253485,485,3485,2017-01-12,SupplierAccountNote-27253485,485,false,p-27253485,false,485,3485,3485,r-16594024
y-27253486,3486,3486,CompanyCodeName-27253486,6,true,86,countingClerkFaxNumber-27253486,ntingClerkPhoneNumber-27253486,rClerk-27253486,SupplierClerkURL-27253486,t-27253486,3486,3486,true,true,true,true,53486,966,53486,6373191330.64,ier-27253486,t-27253486,86,2015-08-01,86,e-27253486,e-27253486,486,3486,2019-12-02,SupplierAccountNote-27253486,486,true,p-27253486,true,486,3486,3486,r-16594024
y-27253487,3487,3487,CompanyCodeName-27253487,7,false,87,countingClerkFaxNumber-27253487,ntingClerkPhoneNumber-27253487,rClerk-27253487,SupplierClerkURL-27253487,t-27253487,3487,3487,false,false,false,false,53487,546,53487,13681793045.555,ier-27253487,t-27253487,87,2007-04-24,87,e-27253487,e-27253487,487,3487,2019-05-25,SupplierAccountNote-27253487,487,false,p-27253487,false,487,3487,3487,r-16594024
y-27253488,3488,3488,CompanyCodeName-27253488,8,true,88,countingClerkFaxNumber-27253488,ntingClerkPhoneNumber-27253488,rClerk-27253488,SupplierClerkURL-27253488,t-27253488,3488,3488,true,true,true,true,53488,374,53488,32310725987.637,ier-27253488,t-27253488,88,2020-10-08,88,e-27253488,e-27253488,488,3488,2005-04-15,SupplierAccountNote-27253488,488,true,p-27253488,true,488,3488,3488,r-16594024
y-27253489,3489,3489,CompanyCodeName-27253489,9,false,89,countingClerkFaxNumber-27253489,ntingClerkPhoneNumber-27253489,rClerk-27253489,SupplierClerkURL-27253489,t-27253489,3489,3489,false,false,false,false,53489,375,53489,77926455580.694,ier-27253489,t-27253489,89,2006-06-15,89,e-27253489,e-27253489,489,3489,2012-05-30,SupplierAccountNote-27253489,489,false,p-27253489,false,489,3489,3489,r-16594024
y-27253490,3490,3490,CompanyCodeName-27253490,0,true,90,countingClerkFaxNumber-27253490,ntingClerkPhoneNumber-27253490,rClerk-27253490,SupplierClerkURL-27253490,t-27253490,3490,3490,true,true,true,true,53490,456,53490,10300818502.612,ier-27253490,t-27253490,90,2010-06-12,90,e-27253490,e-27253490,490,3490,2020-04-16,SupplierAccountNote-27253490,490,true,p-27253490,true,490,3490,3490,r-16594024
y-27253491,3491,3491,CompanyCodeName-27253491,1,false,91,countingClerkFaxNumber-27253491,ntingClerkPhoneNumber-27253491,rClerk-27253491,SupplierClerkURL-27253491,t-27253491,3491,3491,false,false,false,false,53491,282,53491,86863588167.407,ier-27253491,t-27253491,91,2004-04-20,91,e-27253491,e-27253491,491,3491,2019-07-23,SupplierAccountNote-27253491,491,false,p-27253491,false,491,3491,3491,r-16594024
