Customer,CompanyCode,APARToleranceGroup,AccountByCustomer,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkInternetAddress,AccountingClerkPhoneNumber,AlternativePayerAccount,AuthorizationGroup,CollectiveInvoiceVariant,CustomerAccountNote,CustomerHeadOffice,CustomerSupplierClearingIsUsed,HouseBank,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,LayoutSortingRule,PaymentBlockingReason,PaymentMethodsList,PaymentReason,PaymentTerms,PaytAdviceIsSentbyEDI,PhysicalInventoryBlockInd,ReconciliationAccount,RecordPaymentHistoryIndicator,UserAtCustomer,DeletionIndicator,CashPlanningGroup,KnownOrNegotiatedLeave,ValueAdjustmentKey,CustomerAccountGroup
y-25353863,3863,3863,mer-25353863,63,countingClerkFaxNumber-25353863,AccountingClerkInternetAddress-25353863,ntingClerkPhoneNumber-25353863,t-25353863,3863,3,CustomerAccountNote-25353863,e-25353863,false,53863,63,2003-04-12,63,false,false,863,3,t-25353863,3863,3863,false,false,t-25353863,false,stomer-25353863,false,p-25353863,3863,63,3863
y-25353864,3864,3864,mer-25353864,64,countingClerkFaxNumber-25353864,AccountingClerkInternetAddress-25353864,ntingClerkPhoneNumber-25353864,t-25353864,3864,4,CustomerAccountNote-25353864,e-25353864,true,53864,64,2009-05-23,64,true,true,864,4,t-25353864,3864,3864,true,true,t-25353864,true,stomer-25353864,true,p-25353864,3864,64,3864
y-25353865,3865,3865,mer-25353865,65,countingClerkFaxNumber-25353865,AccountingClerkInternetAddress-25353865,ntingClerkPhoneNumber-25353865,t-25353865,3865,5,CustomerAccountNote-25353865,e-25353865,false,53865,65,2008-03-31,65,false,false,865,5,t-25353865,3865,3865,false,false,t-25353865,false,stomer-25353865,false,p-25353865,3865,65,3865
y-25353866,3866,3866,mer-25353866,66,countingClerkFaxNumber-25353866,AccountingClerkInternetAddress-25353866,ntingClerkPhoneNumber-25353866,t-25353866,3866,6,CustomerAccountNote-25353866,e-25353866,true,53866,66,2009-01-11,66,true,true,866,6,t-25353866,3866,3866,true,true,t-25353866,true,stomer-25353866,true,p-25353866,3866,66,3866
y-25353867,3867,3867,mer-25353867,67,countingClerkFaxNumber-25353867,AccountingClerkInternetAddress-25353867,ntingClerkPhoneNumber-25353867,t-25353867,3867,7,CustomerAccountNote-25353867,e-25353867,false,53867,67,2005-09-26,67,false,false,867,7,t-25353867,3867,3867,false,false,t-25353867,false,stomer-25353867,false,p-25353867,3867,67,3867
y-25353868,3868,3868,mer-25353868,68,countingClerkFaxNumber-25353868,AccountingClerkInternetAddress-25353868,ntingClerkPhoneNumber-25353868,t-25353868,3868,8,CustomerAccountNote-25353868,e-25353868,true,53868,68,2004-01-30,68,true,true,868,8,t-25353868,3868,3868,true,true,t-25353868,true,stomer-25353868,true,p-25353868,3868,68,3868
y-25353869,3869,3869,mer-25353869,69,countingClerkFaxNumber-25353869,AccountingClerkInternetAddress-25353869,ntingClerkPhoneNumber-25353869,t-25353869,3869,9,CustomerAccountNote-25353869,e-25353869,false,53869,69,2019-09-22,69,false,false,869,9,t-25353869,3869,3869,false,false,t-25353869,false,stomer-25353869,false,p-25353869,3869,69,3869
y-25353870,3870,3870,mer-25353870,70,countingClerkFaxNumber-25353870,AccountingClerkInternetAddress-25353870,ntingClerkPhoneNumber-25353870,t-25353870,3870,0,CustomerAccountNote-25353870,e-25353870,true,53870,70,2019-09-15,70,true,true,870,0,t-25353870,3870,3870,true,true,t-25353870,true,stomer-25353870,true,p-25353870,3870,70,3870
y-25353871,3871,3871,mer-25353871,71,countingClerkFaxNumber-25353871,AccountingClerkInternetAddress-25353871,ntingClerkPhoneNumber-25353871,t-25353871,3871,1,CustomerAccountNote-25353871,e-25353871,false,53871,71,2003-08-24,71,false,false,871,1,t-25353871,3871,3871,false,false,t-25353871,false,stomer-25353871,false,p-25353871,3871,71,3871
y-25353872,3872,3872,mer-25353872,72,countingClerkFaxNumber-25353872,AccountingClerkInternetAddress-25353872,ntingClerkPhoneNumber-25353872,t-25353872,3872,2,CustomerAccountNote-25353872,e-25353872,true,53872,72,2007-06-09,72,true,true,872,2,t-25353872,3872,3872,true,true,t-25353872,true,stomer-25353872,true,p-25353872,3872,72,3872
y-25353873,3873,3873,mer-25353873,73,countingClerkFaxNumber-25353873,AccountingClerkInternetAddress-25353873,ntingClerkPhoneNumber-25353873,t-25353873,3873,3,CustomerAccountNote-25353873,e-25353873,false,53873,73,2021-04-26,73,false,false,873,3,t-25353873,3873,3873,false,false,t-25353873,false,stomer-25353873,false,p-25353873,3873,73,3873
y-25353874,3874,3874,mer-25353874,74,countingClerkFaxNumber-25353874,AccountingClerkInternetAddress-25353874,ntingClerkPhoneNumber-25353874,t-25353874,3874,4,CustomerAccountNote-25353874,e-25353874,true,53874,74,2007-02-23,74,true,true,874,4,t-25353874,3874,3874,true,true,t-25353874,true,stomer-25353874,true,p-25353874,3874,74,3874
y-25353875,3875,3875,mer-25353875,75,countingClerkFaxNumber-25353875,AccountingClerkInternetAddress-25353875,ntingClerkPhoneNumber-25353875,t-25353875,3875,5,CustomerAccountNote-25353875,e-25353875,false,53875,75,2015-02-25,75,false,false,875,5,t-25353875,3875,3875,false,false,t-25353875,false,stomer-25353875,false,p-25353875,3875,75,3875
y-25353876,3876,3876,mer-25353876,76,countingClerkFaxNumber-25353876,AccountingClerkInternetAddress-25353876,ntingClerkPhoneNumber-25353876,t-25353876,3876,6,CustomerAccountNote-25353876,e-25353876,true,53876,76,2014-04-02,76,true,true,876,6,t-25353876,3876,3876,true,true,t-25353876,true,stomer-25353876,true,p-25353876,3876,76,3876
y-25353877,3877,3877,mer-25353877,77,countingClerkFaxNumber-25353877,AccountingClerkInternetAddress-25353877,ntingClerkPhoneNumber-25353877,t-25353877,3877,7,CustomerAccountNote-25353877,e-25353877,false,53877,77,2011-01-22,77,false,false,877,7,t-25353877,3877,3877,false,false,t-25353877,false,stomer-25353877,false,p-25353877,3877,77,3877
y-25353878,3878,3878,mer-25353878,78,countingClerkFaxNumber-25353878,AccountingClerkInternetAddress-25353878,ntingClerkPhoneNumber-25353878,t-25353878,3878,8,CustomerAccountNote-25353878,e-25353878,true,53878,78,2016-06-16,78,true,true,878,8,t-25353878,3878,3878,true,true,t-25353878,true,stomer-25353878,true,p-25353878,3878,78,3878
y-25353879,3879,3879,mer-25353879,79,countingClerkFaxNumber-25353879,AccountingClerkInternetAddress-25353879,ntingClerkPhoneNumber-25353879,t-25353879,3879,9,CustomerAccountNote-25353879,e-25353879,false,53879,79,2007-01-24,79,false,false,879,9,t-25353879,3879,3879,false,false,t-25353879,false,stomer-25353879,false,p-25353879,3879,79,3879
y-25353880,3880,3880,mer-25353880,80,countingClerkFaxNumber-25353880,AccountingClerkInternetAddress-25353880,ntingClerkPhoneNumber-25353880,t-25353880,3880,0,CustomerAccountNote-25353880,e-25353880,true,53880,80,2022-10-03,80,true,true,880,0,t-25353880,3880,3880,true,true,t-25353880,true,stomer-25353880,true,p-25353880,3880,80,3880
y-25353881,3881,3881,mer-25353881,81,countingClerkFaxNumber-25353881,AccountingClerkInternetAddress-25353881,ntingClerkPhoneNumber-25353881,t-25353881,3881,1,CustomerAccountNote-25353881,e-25353881,false,53881,81,2017-01-30,81,false,false,881,1,t-25353881,3881,3881,false,false,t-25353881,false,stomer-25353881,false,p-25353881,3881,81,3881
y-25353882,3882,3882,mer-25353882,82,countingClerkFaxNumber-25353882,AccountingClerkInternetAddress-25353882,ntingClerkPhoneNumber-25353882,t-25353882,3882,2,CustomerAccountNote-25353882,e-25353882,true,53882,82,2004-05-23,82,true,true,882,2,t-25353882,3882,3882,true,true,t-25353882,true,stomer-25353882,true,p-25353882,3882,82,3882
y-25353883,3883,3883,mer-25353883,83,countingClerkFaxNumber-25353883,AccountingClerkInternetAddress-25353883,ntingClerkPhoneNumber-25353883,t-25353883,3883,3,CustomerAccountNote-25353883,e-25353883,false,53883,83,2009-08-30,83,false,false,883,3,t-25353883,3883,3883,false,false,t-25353883,false,stomer-25353883,false,p-25353883,3883,83,3883
y-25353884,3884,3884,mer-25353884,84,countingClerkFaxNumber-25353884,AccountingClerkInternetAddress-25353884,ntingClerkPhoneNumber-25353884,t-25353884,3884,4,CustomerAccountNote-25353884,e-25353884,true,53884,84,2002-08-19,84,true,true,884,4,t-25353884,3884,3884,true,true,t-25353884,true,stomer-25353884,true,p-25353884,3884,84,3884
y-25353885,3885,3885,mer-25353885,85,countingClerkFaxNumber-25353885,AccountingClerkInternetAddress-25353885,ntingClerkPhoneNumber-25353885,t-25353885,3885,5,CustomerAccountNote-25353885,e-25353885,false,53885,85,2022-01-31,85,false,false,885,5,t-25353885,3885,3885,false,false,t-25353885,false,stomer-25353885,false,p-25353885,3885,85,3885
y-25353886,3886,3886,mer-25353886,86,countingClerkFaxNumber-25353886,AccountingClerkInternetAddress-25353886,ntingClerkPhoneNumber-25353886,t-25353886,3886,6,CustomerAccountNote-25353886,e-25353886,true,53886,86,2010-03-22,86,true,true,886,6,t-25353886,3886,3886,true,true,t-25353886,true,stomer-25353886,true,p-25353886,3886,86,3886
y-25353887,3887,3887,mer-25353887,87,countingClerkFaxNumber-25353887,AccountingClerkInternetAddress-25353887,ntingClerkPhoneNumber-25353887,t-25353887,3887,7,CustomerAccountNote-25353887,e-25353887,false,53887,87,2003-06-25,87,false,false,887,7,t-25353887,3887,3887,false,false,t-25353887,false,stomer-25353887,false,p-25353887,3887,87,3887
